District,Crop,Target Column,Best Parameters,MSE,R²,MAE,MAPE,RMSE
Ahmednagar,Rice,RICE AREA (1000 ha),"{'svr__kernel': 'rbf', 'svr__gamma': 0.001, 'svr__epsilon': 0.01, 'svr__C': 50}",0.00020447097258017509,0.9998414039251141,0.012389334759428909,0.1643586416621653,0.014299334690123702
Ahmednagar,Rice,RICE PRODUCTION (1000 tons),"{'svr__kernel': 'rbf', 'svr__gamma': 0.01, 'svr__epsilon': 0.001, 'svr__C': 100}",0.0024170243931761985,0.99978495591796,0.038617975091394155,0.5831293179012927,0.04916324229723054
Ahmednagar,Rice,RICE YIELD (Kg per ha),"{'svr__kernel': 'rbf', 'svr__gamma': 0.01, 'svr__epsilon': 0.2, 'svr__C': 1000}",1746.7708703540093,0.9892568410962189,35.04521953759286,4.458978189447476,41.79438802463806
Ahmednagar,Wheat,WHEAT AREA (1000 ha),"{'svr__kernel': 'rbf', 'svr__gamma': 0.01, 'svr__epsilon': 0.01, 'svr__C': 1000}",3.5695990900792585,0.9966697393142457,0.8084719968670361,0.6090419697987535,1.8893382677750585
Ahmednagar,Wheat,WHEAT PRODUCTION (1000 tons),"{'svr__kernel': 'rbf', 'svr__gamma': 0.001, 'svr__epsilon': 0.2, 'svr__C': 1000}",0.7449200864306769,0.9998261291763603,0.6982235840930376,0.8979872688090242,0.8630875311523605
Ahmednagar,Wheat,WHEAT YIELD (Kg per ha),"{'svr__kernel': 'rbf', 'svr__gamma': 0.1, 'svr__epsilon': 0.01, 'svr__C': 1000}",815.7106560610996,0.9927155102882685,19.10659909462506,1.6291171848330435,28.560648733197564
Ahmednagar,Sorghum,SORGHUM AREA (1000 ha),"{'svr__kernel': 'rbf', 'svr__gamma': 0.01, 'svr__epsilon': 0.1, 'svr__C': 1000}",1.5384551635687898,0.9995057559305871,0.5922592661120802,0.12367800844903239,1.2403447760879995
Ahmednagar,Sorghum,SORGHUM PRODUCTION (1000 tons),"{'svr__kernel': 'rbf', 'svr__gamma': 0.1, 'svr__epsilon': 0.5, 'svr__C': 1000}",11.695378097782207,0.9978563540286968,1.7118237800760119,1.741357265605104,3.4198505958275733
Ahmednagar,Sorghum,SORGHUM YIELD (Kg per ha),"{'svr__kernel': 'rbf', 'svr__gamma': 'auto', 'svr__epsilon': 0.01, 'svr__C': 500}",98.36890318783439,0.9936181694500682,4.363467566700564,2.1966863326133335,9.918109859637289
Ahmednagar,Pearl Millet,PEARL MILLET AREA (1000 ha),"{'svr__kernel': 'rbf', 'svr__gamma': 0.01, 'svr__epsilon': 0.01, 'svr__C': 500}",2.948079703017558,0.9994625658101113,1.3807662602511952,0.4610335339522231,1.7169972926645976
Ahmednagar,Pearl Millet,PEARL MILLET PRODUCTION (1000 tons),"{'svr__kernel': 'rbf', 'svr__gamma': 0.01, 'svr__epsilon': 0.2, 'svr__C': 1000}",1.7979847111360459,0.9996267488521459,0.7334330921189007,0.40869644859926924,1.3408895223455384
Ahmednagar,Pearl Millet,PEARL MILLET YIELD (Kg per ha),"{'svr__kernel': 'rbf', 'svr__gamma': 0.01, 'svr__epsilon': 0.001, 'svr__C': 1000}",30.8762558213164,0.9990752504666092,3.7050071668664013,0.6679920569775215,5.556640695718628
