District,Target Column,Best Parameters,MSE,R²
Ahmednagar,Area,"{'subsample': 0.8, 'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.05}",0.3214295940476746,0.9999873548816658
Ahmednagar,Production,"{'subsample': 1.0, 'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_depth': 5, 'learning_rate': 0.05}",0.7580891048907312,0.9999971573955349
Ahmednagar,Yield,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.1}",2395.3498204687135,0.9998561640625847
Ahmednagar,Irrigated Area,"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.01}",745.3661562006514,0.9715582887193132
Ahmednagar,Annual Rainfall,"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_depth': 3, 'learning_rate': 0.01}",2043.204888815625,0.8612261143304049
Ahmednagar,NITROGEN CONSUMPTION (tons),"{'subsample': 1.0, 'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.05}",8.181843041794623e-05,0.9999999999999178
Ahmednagar,NITROGEN SHARE IN NPK (Percent),"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 5, 'learning_rate': 0.1}",9.34935915930606e-06,0.9999998060102441
Ahmednagar,NITROGEN PER HA OF NCA (Kg per ha),"{'subsample': 1.0, 'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.05}",5.933424821702362e-07,0.9999999993019858
Ahmednagar,NITROGEN PER HA OF GCA (Kg per ha),"{'subsample': 1.0, 'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.05}",8.718219092605292e-11,0.9999999999998187
Ahmednagar,PHOSPHATE CONSUMPTION (tons),"{'subsample': 1.0, 'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_depth': 5, 'learning_rate': 0.1}",8724.018793808671,0.9999790450584155
Ahmednagar,PHOSPHATE SHARE IN NPK (Percent),"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.1}",1.3996947114315338e-05,0.9999993957164062
Ahmednagar,PHOSPHATE PER HA OF NCA (Kg per ha),"{'subsample': 0.8, 'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.05}",2.8129025415494894e-08,0.9999999999207826
Ahmednagar,PHOSPHATE PER HA OF GCA (Kg per ha),"{'subsample': 0.8, 'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.05}",3.5483133298906193e-05,0.9999998247822053
Ahmednagar,POTASH CONSUMPTION (tons),"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.1}",0.5339950936967244,0.9999999965875321
Ahmednagar,POTASH SHARE IN NPK (Percent),"{'subsample': 1.0, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 3, 'learning_rate': 0.1}",0.018803077940071973,0.9992784011079671
Ahmednagar,POTASH PER HA OF NCA (Kg per ha),"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.05}",0.0001705714893302909,0.999998726599483
Ahmednagar,POTASH PER HA OF GCA (Kg per ha),"{'subsample': 0.8, 'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.05}",2.2678521961409524e-08,0.9999999996898198
Ahmednagar,TOTAL CONSUMPTION (tons),"{'subsample': 1.0, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 5, 'learning_rate': 0.1}",59729.024343399455,0.9999851016217979
Ahmednagar,TOTAL PER HA OF NCA (Kg per ha),"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.1}",1.1808596563549317e-05,0.9999999965615901
Ahmednagar,FOREST AREA (1000 ha),"{'subsample': 0.8, 'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.1}",1.1872142721965222e-13,0.9999999999999989
Ahmednagar,BARREN AND UNCULTIVABLE LAND AREA (1000 ha),"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.1}",5.398421605876758e-09,0.9999999999782482
Ahmednagar,LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha),"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 5, 'learning_rate': 0.1}",3.995619586453443e-05,0.9999987930799298
Ahmednagar,CULTIVABLE WASTE LAND AREA (1000 ha),"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.1}",1.0237344241207644e-12,0.9999999999999768
Ahmednagar,PERMANENT PASTURES AREA (1000 ha),"{'subsample': 0.8, 'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_depth': 5, 'learning_rate': 0.01}",0.8234975938140552,0.9686062434038453
Ahmednagar,OTHER FALLOW AREA (1000 ha),"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 3, 'learning_rate': 0.05}",0.08403496388928797,0.9998622917407042
Ahmednagar,CURRENT FALLOW AREA (1000 ha),"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 5, 'learning_rate': 0.05}",0.15640268464204968,0.999935472074107
Ahmednagar,NET CROPPED AREA (1000 ha),"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.05}",0.4516208586189905,0.9998745552629753
Ahmednagar,GROSS CROPPED AREA (1000 ha),"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 5, 'learning_rate': 0.01}",1242.2538644118658,0.8302902784697892
Ahmednagar,CROPING INTENSITY (Percent),"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 3, 'learning_rate': 0.05}",0.006082172721287336,0.9999511427052085
Ahmednagar,Min Temp (Centigrate),"{'subsample': 1.0, 'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_depth': 3, 'learning_rate': 0.1}",8.084906321614257e-06,0.9999576935460656
Ahmednagar,Max Temp (Centigrate),"{'subsample': 1.0, 'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_depth': 5, 'learning_rate': 0.05}",0.00013502702863888138,0.9990204042702945
Ahmednagar,Precipitation (mm),"{'subsample': 1.0, 'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.05}",7.816737696954381e-06,0.9999999997746409
Ahmednagar,Evapotranspiration (mm),"{'subsample': 1.0, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.05}",0.35236468689857303,0.9999601963874081
Akola,Area,"{'subsample': 1.0, 'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.1}",8.769537123625365e-16,1.0
Akola,Production,"{'subsample': 1.0, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 3, 'learning_rate': 0.1}",19.822923546969612,0.999904007897266
Akola,Yield,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 5, 'learning_rate': 0.05}",2951.7549148334456,0.9998668545839924
Akola,Irrigated Area,"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.01}",22.596259418317665,0.9618454421334698
Akola,Annual Rainfall,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_depth': 3, 'learning_rate': 0.05}",470.45315943808606,0.9869834790445259
Akola,NITROGEN CONSUMPTION (tons),"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.1}",129.82301886548342,0.9999995149201882
Akola,NITROGEN SHARE IN NPK (Percent),"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.1}",1.7672923430845038e-05,0.9999997136696525
Akola,NITROGEN PER HA OF NCA (Kg per ha),"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 5, 'learning_rate': 0.1}",0.01422361158760632,0.9999648898925909
Akola,NITROGEN PER HA OF GCA (Kg per ha),"{'subsample': 1.0, 'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.1}",2.3984013868333354e-07,0.9999999988459508
Akola,PHOSPHATE CONSUMPTION (tons),"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.1}",3.8588781856352146,0.9999999756760859
Akola,PHOSPHATE SHARE IN NPK (Percent),"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_depth': 3, 'learning_rate': 0.05}",0.019838008704755945,0.9997177345676228
Akola,PHOSPHATE PER HA OF NCA (Kg per ha),"{'subsample': 0.8, 'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.05}",5.2714926431247736e-08,0.9999999997819756
Akola,PHOSPHATE PER HA OF GCA (Kg per ha),"{'subsample': 0.8, 'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.05}",2.383995468368262e-05,0.9999998075454745
Akola,POTASH CONSUMPTION (tons),"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.05}",2.01714229662263,0.9999998247532009
