District,Year,Target Column,Forecasted Value
Ahmednagar,2018,Area,2307.139028925724
Ahmednagar,2019,Area,2371.6356934166793
Ahmednagar,2020,Area,1912.8128767766027
Ahmednagar,2021,Area,1850.526174533611
Ahmednagar,2022,Area,1913.3464223067604
Ahmednagar,2023,Area,1951.0115379686144
Ahmednagar,2024,Area,1597.3072374077976
Ahmednagar,2025,Area,2005.512695500912
Ahmednagar,2030,Area,2004.5821349666192
Ahmednagar,2035,Area,2099.3292742824233
Ahmednagar,2040,Area,2055.147268115149
Ahmednagar,2045,Area,2017.8013292641162
Ahmednagar,2018,Production,958.5870082973216
Ahmednagar,2019,Production,940.7150914175401
Ahmednagar,2020,Production,863.4280190758259
Ahmednagar,2021,Production,1050.857268130661
Ahmednagar,2022,Production,830.1266121354429
Ahmednagar,2023,Production,711.832390415022
Ahmednagar,2024,Production,496.1069664435224
Ahmednagar,2025,Production,1139.6237117591534
Ahmednagar,2030,Production,1263.9139574930405
Ahmednagar,2035,Production,1339.5936599662239
Ahmednagar,2040,Production,1502.9767588210316
Ahmednagar,2045,Production,1554.0575803837971
Ahmednagar,2018,Yield,13744.840213172061
Ahmednagar,2019,Yield,14594.158195642984
Ahmednagar,2020,Yield,14159.184469425629
Ahmednagar,2021,Yield,15622.247325871516
Ahmednagar,2022,Yield,15298.521331722919
Ahmednagar,2023,Yield,14416.038732314555
Ahmednagar,2024,Yield,11662.22205682702
Ahmednagar,2025,Yield,17037.34985161128
Ahmednagar,2030,Yield,20724.511591603557
Ahmednagar,2035,Yield,20909.39339128985
Ahmednagar,2040,Yield,20427.626670703987
Ahmednagar,2045,Yield,20817.32622043242
Ahmednagar,2018,Irrigated Area,238.99750783304322
Ahmednagar,2019,Irrigated Area,243.02865052608948
Ahmednagar,2020,Irrigated Area,243.01114677438096
Ahmednagar,2021,Irrigated Area,235.78905856960228
Ahmednagar,2022,Irrigated Area,247.108594893115
Ahmednagar,2023,Irrigated Area,242.25506333626578
Ahmednagar,2024,Irrigated Area,210.5813223286737
Ahmednagar,2025,Irrigated Area,261.7240811270081
Ahmednagar,2030,Irrigated Area,274.4735172454057
Ahmednagar,2035,Irrigated Area,309.67249726685344
Ahmednagar,2040,Irrigated Area,326.75287091446813
Ahmednagar,2045,Irrigated Area,369.88177560954773
Ahmednagar,2018,Annual Rainfall,532.65651322404
Ahmednagar,2019,Annual Rainfall,575.4308319719013
Ahmednagar,2020,Annual Rainfall,501.3170247579728
Ahmednagar,2021,Annual Rainfall,636.1622284388225
Ahmednagar,2022,Annual Rainfall,497.6761249361305
Ahmednagar,2023,Annual Rainfall,447.18818031462814
Ahmednagar,2024,Annual Rainfall,334.3267105160423
Ahmednagar,2025,Annual Rainfall,534.8606680927696
Ahmednagar,2030,Annual Rainfall,633.6734075194292
Ahmednagar,2035,Annual Rainfall,631.7562655252199
Ahmednagar,2040,Annual Rainfall,525.999692949132
Ahmednagar,2045,Annual Rainfall,519.5825949000664
