Year,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AND VEGETABLES AREA (1000 ha),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),Min Temp (Centigrate),Max Temp (Centigrate),Precipitation (mm),Irrigated Area,Annual Rainfall
1966,Ahmednagar,11,5,455,38,17,447,609,273,448,315,61,194,1,1,1000,22,7,318,20,13,650,232,14,59,34,16,471,2,1,294,199,17,84,35,254,7302,29,5,172,12,73,2,2,1085,27,1,1,0,0,0,0,19,33,172,230,563
1967,Ahmednagar,9,8,889,40,14,350,645,276,428,361,62,172,1,2,2000,22,6,273,20,11,550,223,10,43,24,11,458,2,1,263,213,12,55,35,246,7037,37,5,135,10,67,5,5,3357,33,3,3,0,0,0,0,19,32,649,236,556
1968,Ahmednagar,8,7,886,43,28,650,556,187,336,351,86,245,1,1,1111,21,7,335,18,10,546,73,11,146,24,13,546,2,0,250,85,14,160,47,306,6445,25,3,119,9,65,4,4,1653,23,1,1,811,11,1,1,18,32,551,235,493
1969,Ahmednagar,8,5,667,49,23,465,496,214,432,380,114,301,1,2,1667,20,6,318,23,14,624,84,13,154,25,12,478,2,1,263,85,13,150,52,415,7988,25,2,92,9,75,8,7,1659,13,1,1,1551,12,1,1,19,33,694,227,685
1970,Ahmednagar,7,6,789,47,29,616,533,100,188,362,126,349,2,2,1133,18,6,337,20,15,735,62,1,10,19,12,651,2,0,182,84,13,154,52,414,7958,28,2,81,9,70,8,8,2364,17,2,2,1784,13,1,1,18,32,218,243,491
1971,Ahmednagar,7,6,817,53,32,599,711,130,183,121,29,237,1,1,1429,21,10,483,5,1,255,20,2,96,10,8,743,1,0,167,73,8,108,49,350,7112,9,2,233,8,65,9,9,3178,20,3,3,2380,15,2,2,18,32,172,235,450
1972,Ahmednagar,6,1,172,44,22,490,512,45,87,160,24,147,1,1,1714,9,2,250,4,1,205,19,1,70,8,2,275,0,0,333,85,10,117,48,332,6884,7,2,231,6,64,13,12,4143,18,4,3,4080,18,4,3,19,33,109,197,214
1973,Ahmednagar,6,7,1155,55,39,699,589,241,409,346,144,416,2,3,1647,21,7,338,18,13,721,78,3,38,12,10,836,2,1,250,71,33,463,50,372,7446,4,1,186,9,62,13,12,5820,23,5,4,3690,15,3,3,19,32,157,249,583
1974,Ahmednagar,7,10,1429,48,56,1180,585,238,406,321,117,364,2,3,1625,19,7,365,19,12,621,76,18,231,13,13,1024,2,1,217,93,40,426,57,482,8427,6,1,224,9,50,11,10,5154,18,4,4,9323,33,8,7,18,32,683,262,678
1975,Ahmednagar,8,15,1855,75,90,1195,613,261,426,306,75,245,2,2,1095,25,11,418,23,12,537,74,15,204,14,15,1014,3,1,231,88,34,388,62,522,8486,7,2,246,10,65,9,8,2380,14,2,2,3426,20,3,2,18,32,770,308,656
