District,Avg MSE,Avg R²
Ahmednagar,343888.6964344401,0.9396309808307703
Akola,194671.4305068746,0.9438669648549136
Amarawati,118566.70772730684,0.9272738456887932
Beed,149743.38419656624,0.9099256517568776
Bhandara,164336.58085627115,0.9004080165892684
Buldhana,151126.93665738296,0.943752389691457
Chandrapur,85677.96921865879,0.9340916240783698
Dhule,84958.25112931688,0.9316936831751855
Jalgaon,45362.39491829563,0.9356247659233105
Kolhapur,106622.71473844182,0.9264358447849489
Nagpur,160432.75704384877,0.928034511541182
Nanded,14767.298100624597,0.9093779177503468
Nasik,232890.40564341875,0.9224099320862428
Osmanabad,105904.7590764771,0.9389075716673148
Parbhani,23447.2691040019,0.9343870412982359
Pune,321576.40768392524,0.9043507263564796
Sangli,1014062.0374648754,0.9222893779725962
Satara,78967.29839213421,0.9326693296850691
Solapur,117528.99333694947,0.9198142341088457
Yeotmal,128264.01769239602,0.9228695184986174
