District,Target Column,Best Parameters,MSE,R²
Ahmednagar,Area,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': True}",2921.4719076232577,0.8850685852642013
Ahmednagar,Production,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': True}",12487.379116156468,0.9531761116148438
Ahmednagar,Yield,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 10, 'bootstrap': True}",1565792.4465499425,0.9059773138675671
Ahmednagar,Irrigated Area,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",378.589437118437,0.9855537692785428
Ahmednagar,Annual Rainfall,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': True}",2239.214614117281,0.8479131904244189
Ahmednagar,NITROGEN CONSUMPTION (tons),"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.0,1.0
Ahmednagar,NITROGEN SHARE IN NPK (Percent),"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': None, 'bootstrap': True}",4.947902042439681,0.8973360319863346
Ahmednagar,NITROGEN PER HA OF NCA (Kg per ha),"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",2.164331249999999,0.9974538584478801
Ahmednagar,NITROGEN PER HA OF GCA (Kg per ha),"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': False}",1.5242685897435893,0.996830288001815
Ahmednagar,PHOSPHATE CONSUMPTION (tons),"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",1590562.3333333335,0.9961794969074154
Ahmednagar,PHOSPHATE SHARE IN NPK (Percent),"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': None, 'bootstrap': False}",3.873428305860805,0.8327743072785819
Ahmednagar,PHOSPHATE PER HA OF NCA (Kg per ha),"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",5.866987056309143e-27,1.0
Ahmednagar,PHOSPHATE PER HA OF GCA (Kg per ha),"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': False}",0.41093525641025597,0.9979707775859896
Ahmednagar,POTASH CONSUMPTION (tons),"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': True}",823933.4146004816,0.9947346963163831
Ahmednagar,POTASH SHARE IN NPK (Percent),"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': True}",7.225923263759673,0.7226933676676572
Ahmednagar,POTASH PER HA OF NCA (Kg per ha),"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': False}",1.4652443727943916e-26,1.0
Ahmednagar,POTASH PER HA OF GCA (Kg per ha),"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",3.8829592129226076e-28,1.0
Ahmednagar,TOTAL CONSUMPTION (tons),"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 20, 'bootstrap': False}",7346162.221153846,0.9981676261364002
Ahmednagar,TOTAL PER HA OF NCA (Kg per ha),"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 10, 'bootstrap': False}",7.420794230769242,0.9978392239887022
Ahmednagar,FOREST AREA (1000 ha),"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",0.2057692307692301,0.9979874201460835
Ahmednagar,BARREN AND UNCULTIVABLE LAND AREA (1000 ha),"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': True}",19.262187320297873,0.9223868191945165
Ahmednagar,LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha),"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': False}",1.7992326007326005,0.9456522351563371
Ahmednagar,CULTIVABLE WASTE LAND AREA (1000 ha),"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': None, 'bootstrap': False}",8.724977462564102,0.8021419631242827
Ahmednagar,PERMANENT PASTURES AREA (1000 ha),"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': True}",4.3445466162849,0.8343751821294416
Ahmednagar,OTHER FALLOW AREA (1000 ha),"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 20, 'bootstrap': False}",8.606314102564106,0.9858968162873464
Ahmednagar,CURRENT FALLOW AREA (1000 ha),"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 20, 'bootstrap': False}",40.621100732600745,0.9832407264378854
Ahmednagar,NET CROPPED AREA (1000 ha),"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",13.011185897435844,0.9963859401926781
Ahmednagar,GROSS CROPPED AREA (1000 ha),"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 10, 'bootstrap': False}",412.48577152014656,0.943648518692272
Ahmednagar,CROPING INTENSITY (Percent),"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': True}",1.9202366461538236,0.9845749911767004
Ahmednagar,Min Temp (Centigrate),"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': True}",0.02948371590200331,0.8457185007461256
Ahmednagar,Max Temp (Centigrate),"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 10, 'bootstrap': True}",0.013845187905306101,0.8995557623853148
Ahmednagar,Precipitation (mm),"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': True}",2741.4378209769575,0.9209634737155158
Ahmednagar,Evapotranspiration (mm),"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': True}",569.8815689549167,0.9356253732641884
Akola,Area,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",7.523267323617808e-23,1.0
Akola,Production,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 10, 'bootstrap': True}",22697.824541817263,0.8900862478688202
Akola,Yield,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': True}",1767648.739345193,0.9202663047759168
