District,Year,Target Column,Forecasted Value
Ahmednagar,2018,Area,2195.7762180555546
Ahmednagar,2019,Area,2206.370252023809
Ahmednagar,2020,Area,1988.6777195238094
Ahmednagar,2021,Area,1932.6859814285708
Ahmednagar,2022,Area,1939.6488644047613
Ahmednagar,2023,Area,1921.2655297619044
Ahmednagar,2024,Area,1722.446296190476
Ahmednagar,2025,Area,1990.2847063492068
Ahmednagar,2030,Area,2000.4200207539682
Ahmednagar,2035,Area,2071.469148571428
Ahmednagar,2040,Area,2039.5949932936494
Ahmednagar,2045,Area,2014.2204063492056
Ahmednagar,2018,Production,932.5759272222223
Ahmednagar,2019,Production,945.7821658862439
Ahmednagar,2020,Production,915.9516779894182
Ahmednagar,2021,Production,985.0719965873014
Ahmednagar,2022,Production,858.5691071164023
Ahmednagar,2023,Production,810.8149549470905
Ahmednagar,2024,Production,667.04971931217
Ahmednagar,2025,Production,1043.1633468121706
Ahmednagar,2030,Production,1362.708396023328
Ahmednagar,2035,Production,1370.9630164550254
Ahmednagar,2040,Production,1413.9732730290991
Ahmednagar,2045,Production,1447.3696568121684
Ahmednagar,2018,Yield,14583.5418226432
Ahmednagar,2019,Yield,14884.24030478605
Ahmednagar,2020,Yield,14822.502511928908
Ahmednagar,2021,Yield,14975.569015817802
Ahmednagar,2022,Yield,15081.158364367579
Ahmednagar,2023,Yield,14806.210272837998
Ahmednagar,2024,Yield,14638.923616214624
Ahmednagar,2025,Yield,16614.61663765984
Ahmednagar,2030,Yield,19721.76122331208
Ahmednagar,2035,Yield,21361.965092880037
Ahmednagar,2040,Yield,22160.919601652793
Ahmednagar,2045,Yield,21889.835261259017
Ahmednagar,2018,Irrigated Area,234.899999999998
Ahmednagar,2019,Irrigated Area,234.899999999998
Ahmednagar,2020,Irrigated Area,234.899999999998
Ahmednagar,2021,Irrigated Area,234.899999999998
Ahmednagar,2022,Irrigated Area,234.899999999998
Ahmednagar,2023,Irrigated Area,234.899999999998
Ahmednagar,2024,Irrigated Area,234.899999999998
Ahmednagar,2025,Irrigated Area,234.899999999998
Ahmednagar,2030,Irrigated Area,234.899999999998
Ahmednagar,2035,Irrigated Area,320.10000000000304
Ahmednagar,2040,Irrigated Area,320.10000000000304
Ahmednagar,2045,Irrigated Area,416.3599999999952
Ahmednagar,2018,Annual Rainfall,521.4689824675322
Ahmednagar,2019,Annual Rainfall,571.7187248015872
Ahmednagar,2020,Annual Rainfall,487.91378861832607
Ahmednagar,2021,Annual Rainfall,643.0886880952381
Ahmednagar,2022,Annual Rainfall,500.34945290404016
Ahmednagar,2023,Annual Rainfall,432.06267810245316
Ahmednagar,2024,Annual Rainfall,332.559220436508
Ahmednagar,2025,Annual Rainfall,550.1292865079363
Ahmednagar,2030,Annual Rainfall,648.9259655483406
Ahmednagar,2035,Annual Rainfall,640.278033603896
Ahmednagar,2040,Annual Rainfall,525.2482697691198
Ahmednagar,2045,Annual Rainfall,532.6861579365079
Ahmednagar,2018,NITROGEN CONSUMPTION (tons),2938.0
Ahmednagar,2019,NITROGEN CONSUMPTION (tons),6714.0
Ahmednagar,2020,NITROGEN CONSUMPTION (tons),4670.0
Ahmednagar,2021,NITROGEN CONSUMPTION (tons),9477.0
Ahmednagar,2022,NITROGEN CONSUMPTION (tons),9849.0
Ahmednagar,2023,NITROGEN CONSUMPTION (tons),10351.0
Ahmednagar,2024,NITROGEN CONSUMPTION (tons),14755.0
Ahmednagar,2025,NITROGEN CONSUMPTION (tons),15751.0
Ahmednagar,2030,NITROGEN CONSUMPTION (tons),14200.0
Ahmednagar,2035,NITROGEN CONSUMPTION (tons),10988.0
Ahmednagar,2040,NITROGEN CONSUMPTION (tons),13077.0
Ahmednagar,2045,NITROGEN CONSUMPTION (tons),18397.0
Ahmednagar,2018,NITROGEN SHARE IN NPK (Percent),67.7944348149073
Ahmednagar,2019,NITROGEN SHARE IN NPK (Percent),66.31827173049172
Ahmednagar,2020,NITROGEN SHARE IN NPK (Percent),67.44513710439885
Ahmednagar,2021,NITROGEN SHARE IN NPK (Percent),67.80913389760566
Ahmednagar,2022,NITROGEN SHARE IN NPK (Percent),67.05444104240529
Ahmednagar,2023,NITROGEN SHARE IN NPK (Percent),63.110700437128216
Ahmednagar,2024,NITROGEN SHARE IN NPK (Percent),61.619991147806424
Ahmednagar,2025,NITROGEN SHARE IN NPK (Percent),62.53266627184906
Ahmednagar,2030,NITROGEN SHARE IN NPK (Percent),55.72078662446213
Ahmednagar,2035,NITROGEN SHARE IN NPK (Percent),61.68566733705834
Ahmednagar,2040,NITROGEN SHARE IN NPK (Percent),65.39300820318569
Ahmednagar,2045,NITROGEN SHARE IN NPK (Percent),59.57357504280034
Ahmednagar,2018,NITROGEN PER HA OF NCA (Kg per ha),3.776666666666646
Ahmednagar,2019,NITROGEN PER HA OF NCA (Kg per ha),3.776666666666646
Ahmednagar,2020,NITROGEN PER HA OF NCA (Kg per ha),3.776666666666646
Ahmednagar,2021,NITROGEN PER HA OF NCA (Kg per ha),8.349999999999943
Ahmednagar,2022,NITROGEN PER HA OF NCA (Kg per ha),8.349999999999943
Ahmednagar,2023,NITROGEN PER HA OF NCA (Kg per ha),8.349999999999943
Ahmednagar,2024,NITROGEN PER HA OF NCA (Kg per ha),13.04249999999985
Ahmednagar,2025,NITROGEN PER HA OF NCA (Kg per ha),13.04249999999985
Ahmednagar,2030,NITROGEN PER HA OF NCA (Kg per ha),11.015000000000052
Ahmednagar,2035,NITROGEN PER HA OF NCA (Kg per ha),8.349999999999943
Ahmednagar,2040,NITROGEN PER HA OF NCA (Kg per ha),11.015000000000052
Ahmednagar,2045,NITROGEN PER HA OF NCA (Kg per ha),14.75
Ahmednagar,2018,NITROGEN PER HA OF GCA (Kg per ha),3.580000000000014
Ahmednagar,2019,NITROGEN PER HA OF GCA (Kg per ha),3.580000000000014
Ahmednagar,2020,NITROGEN PER HA OF GCA (Kg per ha),3.580000000000014
Ahmednagar,2021,NITROGEN PER HA OF GCA (Kg per ha),7.5833333333333215
Ahmednagar,2022,NITROGEN PER HA OF GCA (Kg per ha),7.5833333333333215
Ahmednagar,2023,NITROGEN PER HA OF GCA (Kg per ha),9.150000000000052
Ahmednagar,2024,NITROGEN PER HA OF GCA (Kg per ha),12.119999999999923
Ahmednagar,2025,NITROGEN PER HA OF GCA (Kg per ha),12.119999999999923
Ahmednagar,2030,NITROGEN PER HA OF GCA (Kg per ha),11.170000000000044
Ahmednagar,2035,NITROGEN PER HA OF GCA (Kg per ha),7.5833333333333215
Ahmednagar,2040,NITROGEN PER HA OF GCA (Kg per ha),9.150000000000052
Ahmednagar,2045,NITROGEN PER HA OF GCA (Kg per ha),13.159999999999949
Ahmednagar,2018,PHOSPHATE CONSUMPTION (tons),1465.6666666666674
Ahmednagar,2019,PHOSPHATE CONSUMPTION (tons),3559.3333333333308
Ahmednagar,2020,PHOSPHATE CONSUMPTION (tons),1465.6666666666674
Ahmednagar,2021,PHOSPHATE CONSUMPTION (tons),1465.6666666666674
Ahmednagar,2022,PHOSPHATE CONSUMPTION (tons),2372.0
Ahmednagar,2023,PHOSPHATE CONSUMPTION (tons),3559.3333333333308
Ahmednagar,2024,PHOSPHATE CONSUMPTION (tons),3559.3333333333308
Ahmednagar,2025,PHOSPHATE CONSUMPTION (tons),5408.0
Ahmednagar,2030,PHOSPHATE CONSUMPTION (tons),5408.0
Ahmednagar,2035,PHOSPHATE CONSUMPTION (tons),2372.0
Ahmednagar,2040,PHOSPHATE CONSUMPTION (tons),5408.0
Ahmednagar,2045,PHOSPHATE CONSUMPTION (tons),7032.666666666662
Ahmednagar,2018,PHOSPHATE SHARE IN NPK (Percent),26.25
Ahmednagar,2019,PHOSPHATE SHARE IN NPK (Percent),26.25
Ahmednagar,2020,PHOSPHATE SHARE IN NPK (Percent),17.056000000000026
Ahmednagar,2021,PHOSPHATE SHARE IN NPK (Percent),17.056000000000026
Ahmednagar,2022,PHOSPHATE SHARE IN NPK (Percent),17.056000000000026
Ahmednagar,2023,PHOSPHATE SHARE IN NPK (Percent),20.541999999999966
Ahmednagar,2024,PHOSPHATE SHARE IN NPK (Percent),20.541999999999966
Ahmednagar,2025,PHOSPHATE SHARE IN NPK (Percent),22.588571428571417
Ahmednagar,2030,PHOSPHATE SHARE IN NPK (Percent),17.056000000000026
Ahmednagar,2035,PHOSPHATE SHARE IN NPK (Percent),17.056000000000026
Ahmednagar,2040,PHOSPHATE SHARE IN NPK (Percent),22.588571428571417
Ahmednagar,2045,PHOSPHATE SHARE IN NPK (Percent),22.588571428571417
Ahmednagar,2018,PHOSPHATE PER HA OF NCA (Kg per ha),0.8700000000000024
Ahmednagar,2019,PHOSPHATE PER HA OF NCA (Kg per ha),2.63999999999999
Ahmednagar,2020,PHOSPHATE PER HA OF NCA (Kg per ha),1.3100000000000016
Ahmednagar,2021,PHOSPHATE PER HA OF NCA (Kg per ha),1.3100000000000016
Ahmednagar,2022,PHOSPHATE PER HA OF NCA (Kg per ha),1.8899999999999912
Ahmednagar,2023,PHOSPHATE PER HA OF NCA (Kg per ha),2.839999999999993
Ahmednagar,2024,PHOSPHATE PER HA OF NCA (Kg per ha),3.559999999999986
Ahmednagar,2025,PHOSPHATE PER HA OF NCA (Kg per ha),4.720000000000019
Ahmednagar,2030,PHOSPHATE PER HA OF NCA (Kg per ha),4.149999999999986
Ahmednagar,2035,PHOSPHATE PER HA OF NCA (Kg per ha),1.8999999999999952
Ahmednagar,2040,PHOSPHATE PER HA OF NCA (Kg per ha),3.8099999999999836
Ahmednagar,2045,PHOSPHATE PER HA OF NCA (Kg per ha),5.740000000000006
Ahmednagar,2018,PHOSPHATE PER HA OF GCA (Kg per ha),1.103333333333331
Ahmednagar,2019,PHOSPHATE PER HA OF GCA (Kg per ha),2.620000000000003
Ahmednagar,2020,PHOSPHATE PER HA OF GCA (Kg per ha),1.103333333333331
Ahmednagar,2021,PHOSPHATE PER HA OF GCA (Kg per ha),1.103333333333331
Ahmednagar,2022,PHOSPHATE PER HA OF GCA (Kg per ha),1.779999999999993
Ahmednagar,2023,PHOSPHATE PER HA OF GCA (Kg per ha),2.620000000000003
Ahmednagar,2024,PHOSPHATE PER HA OF GCA (Kg per ha),3.546666666666663
Ahmednagar,2025,PHOSPHATE PER HA OF GCA (Kg per ha),4.480000000000012
Ahmednagar,2030,PHOSPHATE PER HA OF GCA (Kg per ha),3.546666666666663
Ahmednagar,2035,PHOSPHATE PER HA OF GCA (Kg per ha),1.779999999999993
Ahmednagar,2040,PHOSPHATE PER HA OF GCA (Kg per ha),3.546666666666663
Ahmednagar,2045,PHOSPHATE PER HA OF GCA (Kg per ha),5.210000000000013
Ahmednagar,2018,POTASH CONSUMPTION (tons),335.785
Ahmednagar,2019,POTASH CONSUMPTION (tons),542.55
Ahmednagar,2020,POTASH CONSUMPTION (tons),914.5
Ahmednagar,2021,POTASH CONSUMPTION (tons),1479.425
Ahmednagar,2022,POTASH CONSUMPTION (tons),1819.52
Ahmednagar,2023,POTASH CONSUMPTION (tons),2429.645
Ahmednagar,2024,POTASH CONSUMPTION (tons),3782.12
Ahmednagar,2025,POTASH CONSUMPTION (tons),3751.97
Ahmednagar,2030,POTASH CONSUMPTION (tons),8629.54
Ahmednagar,2035,POTASH CONSUMPTION (tons),2980.66
Ahmednagar,2040,POTASH CONSUMPTION (tons),2862.845
Ahmednagar,2045,POTASH CONSUMPTION (tons),6144.75
Ahmednagar,2018,POTASH SHARE IN NPK (Percent),8.309330366300369
Ahmednagar,2019,POTASH SHARE IN NPK (Percent),8.113457390109893
Ahmednagar,2020,POTASH SHARE IN NPK (Percent),11.458072606560107
Ahmednagar,2021,POTASH SHARE IN NPK (Percent),9.01780786630037
Ahmednagar,2022,POTASH SHARE IN NPK (Percent),9.090932191697194
Ahmednagar,2023,POTASH SHARE IN NPK (Percent),15.767115448440443
Ahmednagar,2024,POTASH SHARE IN NPK (Percent),16.228442593240086
Ahmednagar,2025,POTASH SHARE IN NPK (Percent),16.013931662504152
Ahmednagar,2030,POTASH SHARE IN NPK (Percent),21.178662864357864
Ahmednagar,2035,POTASH SHARE IN NPK (Percent),15.072814621489622
Ahmednagar,2040,POTASH SHARE IN NPK (Percent),14.467625026917522
Ahmednagar,2045,POTASH SHARE IN NPK (Percent),17.452219220779217
Ahmednagar,2018,POTASH PER HA OF NCA (Kg per ha),0.0
Ahmednagar,2019,POTASH PER HA OF NCA (Kg per ha),0.0
Ahmednagar,2020,POTASH PER HA OF NCA (Kg per ha),0.639999999999992
Ahmednagar,2021,POTASH PER HA OF NCA (Kg per ha),1.2300000000000086
Ahmednagar,2022,POTASH PER HA OF NCA (Kg per ha),1.4199999999999924
Ahmednagar,2023,POTASH PER HA OF NCA (Kg per ha),2.1300000000000003
Ahmednagar,2024,POTASH PER HA OF NCA (Kg per ha),3.5
Ahmednagar,2025,POTASH PER HA OF NCA (Kg per ha),2.990000000000008
Ahmednagar,2030,POTASH PER HA OF NCA (Kg per ha),7.5
Ahmednagar,2035,POTASH PER HA OF NCA (Kg per ha),2.7300000000000137
Ahmednagar,2040,POTASH PER HA OF NCA (Kg per ha),2.100000000000013
Ahmednagar,2045,POTASH PER HA OF NCA (Kg per ha),5.10999999999999
Ahmednagar,2018,POTASH PER HA OF GCA (Kg per ha),0.0
Ahmednagar,2019,POTASH PER HA OF GCA (Kg per ha),0.0
Ahmednagar,2020,POTASH PER HA OF GCA (Kg per ha),0.6099999999999995
Ahmednagar,2021,POTASH PER HA OF GCA (Kg per ha),1.1700000000000015
Ahmednagar,2022,POTASH PER HA OF GCA (Kg per ha),1.3899999999999995
Ahmednagar,2023,POTASH PER HA OF GCA (Kg per ha),2.0399999999999987
Ahmednagar,2024,POTASH PER HA OF GCA (Kg per ha),3.3899999999999917
Ahmednagar,2025,POTASH PER HA OF GCA (Kg per ha),2.800000000000005
Ahmednagar,2030,POTASH PER HA OF GCA (Kg per ha),6.88999999999999
Ahmednagar,2035,POTASH PER HA OF GCA (Kg per ha),2.4699999999999993
Ahmednagar,2040,POTASH PER HA OF GCA (Kg per ha),1.8600000000000039
Ahmednagar,2045,POTASH PER HA OF GCA (Kg per ha),4.529999999999989
Ahmednagar,2018,TOTAL CONSUMPTION (tons),7076.0
Ahmednagar,2019,TOTAL CONSUMPTION (tons),7076.0
Ahmednagar,2020,TOTAL CONSUMPTION (tons),7076.0
Ahmednagar,2021,TOTAL CONSUMPTION (tons),14197.666666666677
Ahmednagar,2022,TOTAL CONSUMPTION (tons),14197.666666666677
Ahmednagar,2023,TOTAL CONSUMPTION (tons),14197.666666666677
Ahmednagar,2024,TOTAL CONSUMPTION (tons),24705.66666666667
Ahmednagar,2025,TOTAL CONSUMPTION (tons),24705.66666666667
Ahmednagar,2030,TOTAL CONSUMPTION (tons),28539.0
Ahmednagar,2035,TOTAL CONSUMPTION (tons),18583.5
Ahmednagar,2040,TOTAL CONSUMPTION (tons),18583.5
Ahmednagar,2045,TOTAL CONSUMPTION (tons),31618.0
Ahmednagar,2018,TOTAL PER HA OF NCA (Kg per ha),5.5966666666666764
Ahmednagar,2019,TOTAL PER HA OF NCA (Kg per ha),5.5966666666666764
Ahmednagar,2020,TOTAL PER HA OF NCA (Kg per ha),5.5966666666666764
Ahmednagar,2021,TOTAL PER HA OF NCA (Kg per ha),10.609999999999962
Ahmednagar,2022,TOTAL PER HA OF NCA (Kg per ha),10.609999999999962
Ahmednagar,2023,TOTAL PER HA OF NCA (Kg per ha),14.71666666666669
Ahmednagar,2024,TOTAL PER HA OF NCA (Kg per ha),20.105000000000015
Ahmednagar,2025,TOTAL PER HA OF NCA (Kg per ha),20.105000000000015
Ahmednagar,2030,TOTAL PER HA OF NCA (Kg per ha),23.280000000000044
Ahmednagar,2035,TOTAL PER HA OF NCA (Kg per ha),14.71666666666669
Ahmednagar,2040,TOTAL PER HA OF NCA (Kg per ha),14.71666666666669
Ahmednagar,2045,TOTAL PER HA OF NCA (Kg per ha),25.789999999999967
Ahmednagar,2018,FOREST AREA (1000 ha),193.03333333333313
Ahmednagar,2019,FOREST AREA (1000 ha),193.03333333333313
Ahmednagar,2020,FOREST AREA (1000 ha),193.03333333333313
Ahmednagar,2021,FOREST AREA (1000 ha),185.6666666666666
Ahmednagar,2022,FOREST AREA (1000 ha),185.6666666666666
Ahmednagar,2023,FOREST AREA (1000 ha),185.6666666666666
Ahmednagar,2024,FOREST AREA (1000 ha),184.10000000000002
Ahmednagar,2025,FOREST AREA (1000 ha),184.10000000000002
Ahmednagar,2030,FOREST AREA (1000 ha),184.10000000000002
Ahmednagar,2035,FOREST AREA (1000 ha),184.10000000000002
Ahmednagar,2040,FOREST AREA (1000 ha),184.0
Ahmednagar,2045,FOREST AREA (1000 ha),184.0
Ahmednagar,2018,BARREN AND UNCULTIVABLE LAND AREA (1000 ha),155.90920715811973
Ahmednagar,2019,BARREN AND UNCULTIVABLE LAND AREA (1000 ha),155.3798700174826
Ahmednagar,2020,BARREN AND UNCULTIVABLE LAND AREA (1000 ha),155.93964145437906
Ahmednagar,2021,BARREN AND UNCULTIVABLE LAND AREA (1000 ha),157.92695896187152
