,average_r2,average_mse,average_rmse,average_mae,average_mape
Dhule,0.994678694556093,1470757.2451418783,360.81731343252204,270.5939708051703,1.9829948706321803
Amarawati,0.9936964154306577,186026.90422194716,157.68137910693235,127.11313431951326,1.779716393899306
Chandrapur,0.9933450176933528,739177.0146598434,251.7257163785257,181.29564647840638,1.796087685498268
Satara,0.9925845782933029,635154.3608960258,256.8310824029232,215.52463832751332,2.6659283485132224
Parbhani,0.9924525523249171,669806.6771255735,269.75035808971654,195.5621218478535,3.1273603640087453
Bhandara,0.9917843717831478,509020.91794052697,227.73405018603418,152.14413125366616,1.9676858319205002
Buldhana,0.9915853183725808,1192571.79187307,335.5122985236099,231.06035733399267,1.9175766764842677
Beed,0.9909921255084992,1848718.3809983071,396.1794678391289,326.6758160404077,8.474959939283117
Nasik,0.9905239967523218,4983398.572577617,614.0832454401283,510.3732464431545,3.8095135150546624
Osmanabad,0.9901622717583608,1626109.3472600647,401.8475893047332,298.19999524776875,3.389822180039731
Ahmednagar,0.9900327823048404,8158329.97091136,799.325542140501,620.2082255988659,3.1638411249297307
Nagpur,0.9896252470572936,605898.4428027296,264.45931698374994,201.47272040950193,2.427626075054014
Akola,0.9893859032881593,1098332.5912737106,361.0840355721113,269.9522450247443,2.582049560455287
Wardha,0.9890722850133903,355685.03726988204,217.88078664869576,159.69185047137876,2.198245589089157
Yeotmal,0.9881187961676025,1831829.011486075,432.27474351227625,309.92068162255794,2.7477066404161152
Nanded,0.9880849498928144,5982807.216867252,737.5138463236935,584.3842893632044,5.2250794005677
Sangli,0.9878084923919036,2945696.7862137295,546.0633166769151,374.31263886122287,2.840592077534516
Kolhapur,0.9871920876651441,1984799.3677276731,445.1436414009863,347.8898847596737,1.6672956907425982
Ratnagiri,0.9864860162813529,161007.86373837793,95.75899215212266,74.38569389775077,1.7135283422908987
Thane,0.9863556086677817,174115.8903507393,100.14060555448663,74.51273606108536,1.6061616973824353
Pune,0.9854607185355809,19462100.393407505,1205.9231775154656,996.7265640523302,5.879396785546861
Jalgaon,0.9851490957071203,31218925.02612648,1523.1472206251935,1183.9101494100503,4.386958156884027
Solapur,0.985051590196049,22220401.081754718,1265.9434592537325,1021.099271645355,6.53161018919968
