Year,State Name,Dist Name,Area,Production,Yield,Irrigated Area,Annual Rainfall,NITROGEN CONSUMPTION (tons),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),TOTAL CONSUMPTION (tons),TOTAL PER HA OF NCA (Kg per ha),TOTAL AREA (1000 ha),FOREST AREA (1000 ha),BARREN AND UNCULTIVABLE LAND AREA (1000 ha),LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha),CULTIVABLE WASTE LAND AREA (1000 ha),PERMANENT PASTURES AREA (1000 ha),OTHER FALLOW AREA (1000 ha),CURRENT FALLOW AREA (1000 ha),NET CROPPED AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent),Min Temp (Centigrate),Max Temp (Centigrate),Precipitation (mm),Evapotranspiration (mm)
1966,Maharashtra,Ahmednagar,2307.87,958.7,13670.99,230,562.7,2938,73.03,2.36,2.2,1085,26.97,0.87,0.81,0,0,0,0,4023,3.23,1702,195,157,0.9,8.2,28.3,53.1,14,1245.1,1334.2,107.16,18.76166667,32.74166667,171.52,479.33
1967,Maharashtra,Ahmednagar,2371.96,940.5,14605.8,236.4,555.5,6714,66.67,5.28,5.02,3357,33.33,2.64,2.51,0,0,0,0,10071,7.92,1702,192.5,155.4,0.9,6.5,23.6,36.8,14.8,1270.9,1337.9,105.27,18.6475,32.4325,648.57,557.2
1968,Maharashtra,Ahmednagar,1911.9,863.3,14124.95,234.6,493,4670,65.46,3.69,3.52,1653,23.17,1.31,1.25,811,11.37,0.64,0.61,7134,5.64,1702,191.6,149.8,1.1,7.4,30.3,39.7,16.1,1265.5,1326.8,104.84,18.0525,32.205,551.49,491.99
1969,Maharashtra,Ahmednagar,1850.4,1051,15668.16,227,684.6,9477,74.7,7.51,7.16,1659,13.08,1.31,1.25,1551,12.23,1.23,1.17,12687,10.05,1702,185.7,162,1.2,6.8,24.3,45.4,14.3,1261.9,1324.1,104.93,19.17833333,32.77666667,694.17,576.47
1970,Maharashtra,Ahmednagar,1913.2,830.1,15303.19,243,490.6,9849,70.37,7.86,7.67,2364,16.89,1.89,1.84,1784,12.75,1.42,1.39,13997,11.17,1702,185.7,162.9,1,33.6,44.8,37.8,23,1252.9,1284.9,102.55,18.28166667,32.15583333,218.04,628.68
1971,Maharashtra,Ahmednagar,1951.4,711.8,14426.8,235.3,450.2,10351,65.06,9.26,8.89,3178,19.98,2.84,2.73,2380,14.96,2.13,2.04,15909,14.24,1702,185.6,162.9,1.5,36.8,44.8,55.4,97.1,1117.4,1164.3,104.2,18.3025,31.705,172.32,474
1972,Maharashtra,Ahmednagar,1596.7,495.6,11622.59,196.6,213.9,14755,64.21,12.67,12.27,4143,18.03,3.56,3.44,4080,17.76,3.5,3.39,22978,19.73,1702,184.1,156.3,6.6,14.4,43.3,64.7,67.9,1164.7,1202.7,103.26,18.88833333,32.77416667,108.62,276.32
1973,Maharashtra,Ahmednagar,2005.6,1139.7,17027.55,248.8,582.9,15751,62.35,12.77,11.97,5820,23.04,4.72,4.42,3690,14.61,2.99,2.8,25261,20.48,1702,184.1,156.3,6.6,14.4,43.3,34.7,29.4,1233.2,1316.4,106.75,18.9975,32.30083333,157.04,534.18
1974,Maharashtra,Ahmednagar,2003.8,1263.3,20756.43,262.4,678,14200,49.52,11.43,10.49,5154,17.97,4.15,3.81,9323,32.51,7.5,6.89,28677,23.08,1702,184.1,156.3,6.6,14.4,41.1,35.5,21.5,1242.5,1354.1,108.98,18.40416667,32.255,682.6,613.71
1975,Maharashtra,Ahmednagar,2100,1339.6,20886.54,307.5,656.3,10988,65.43,8.77,7.92,2380,14.17,1.9,1.72,3426,20.4,2.73,2.47,16794,13.4,1702,184.1,156.3,6.7,14.4,41.1,27.8,18,1253,1386.5,110.65,18.01,31.69,770.12,627.56
1976,Maharashtra,Ahmednagar,2054.5,1503.3,20400.1,332.7,506,13077,64.19,10.6,9.41,4706,23.1,3.81,3.39,2590,12.71,2.1,1.86,20373,16.51,1702,184,156,7,14,41,34,32,1234,1390,112.64,18.63916667,32.36,581.51,507.15
1977,Maharashtra,Ahmednagar,2018.7,1554.1,20782.94,395.1,512.5,18397,57.82,14.87,13.2,7105,22.33,5.74,5.1,6314,19.85,5.11,4.53,31816,25.72,1702,184,156.3,6.6,14.4,37.7,35.8,30.4,1236.8,1393.7,112.69,19.285,32.255,586.34,527.08
1978,Maharashtra,Ahmednagar,1933.5,1245.3,20243.53,389,434.4,17835,56.76,14.68,13.35,7000,22.28,5.76,5.24,6585,20.96,5.42,4.93,31420,25.86,1702,184.2,158.3,6.8,16.8,36.9,41.5,42.6,1214.9,1336.4,110,19.05333333,31.75666667,570.27,531.99
1979,Maharashtra,Ahmednagar,1972.8,1323.7,21594.11,356.6,694.6,16165,55.72,13.74,13.12,6993,24.1,5.94,5.68,5854,20.18,4.98,4.75,29012,24.66,1702,184.1,158.3,9,12.7,44,73.8,58.1,1176.3,1232,104.74,19.53833333,32.1275,752.38,620.37
1980,Maharashtra,Ahmednagar,1924.2,1389.4,22484.24,392.3,580.4,16991,59.17,14.48,13.37,6794,23.66,5.79,5.35,4929,17.17,4.2,3.88,28714,24.48,1702,184.1,157.9,9.1,12.9,44,71.5,49.4,1173.1,1270.9,108.34,19.48333333,32.33333333,526.03,481.05
