District,Year,Area,Production,Yield,Irrigated Area,Annual Rainfall,NITROGEN CONSUMPTION (tons),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),TOTAL CONSUMPTION (tons),TOTAL PER HA OF NCA (Kg per ha),FOREST AREA (1000 ha),BARREN AND UNCULTIVABLE LAND AREA (1000 ha),LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha),CULTIVABLE WASTE LAND AREA (1000 ha),PERMANENT PASTURES AREA (1000 ha),OTHER FALLOW AREA (1000 ha),CURRENT FALLOW AREA (1000 ha),NET CROPPED AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent),Min Temp (Centigrate),Max Temp (Centigrate),Precipitation (mm),Evapotranspiration (mm)
Ahmednagar,2018,1867.8838147811518,1992.3181006112854,23799.579977226193,-36.92753849106765,520.956149732738,104348.33508903705,50.121439105384155,97.3950673639604,72.4958186967996,50286.132877197815,31.061816040637698,50.65638063139294,34.637752071828444,31443.999267892694,17.644006084431624,29.141482986381035,21.343173668014657,190912.81751166383,183.1082263301206,166.27325333667994,132.08995556452578,18.780392840226238,19.74757300152528,37.20623801845073,108.95562458034483,153.535400682207,1067.2497372245377,1469.5559342348254,137.10850729135402,20.002618816972593,32.96967312976834,624.7961089440978,556.9561721108171
Ahmednagar,2019,1864.9759860813715,2011.9339379640633,23475.34233156361,-20.05844328453196,535.6907465402105,106419.93842925166,49.44786757244733,100.43979289573991,73.90581945279814,48132.94846539937,31.27534542113478,50.85153731156504,33.39000755888519,30711.89518786408,17.27569600813909,28.659769077199922,20.91834510904851,194841.93752348307,190.42695270380068,166.9443417136785,132.44300930171275,19.745417961881845,19.44117570217187,37.01442435073503,110.15184734042626,156.4081279390732,1063.5247377763576,1473.0464543635337,137.79850547089228,20.084124178305537,32.97638089231422,626.3241157457173,557.6979366870523
Ahmednagar,2020,1862.0681573815912,2031.549775316841,23094.200804772743,1.5796039978000067,536.4351113510287,108491.54176946625,48.70415624565491,104.15943294802949,75.31582020879667,45855.144867504096,31.48887451476766,51.4285444915981,32.07089780713287,29972.928653836036,16.918113847512245,28.160448669221577,20.483209123071422,198771.05800705386,199.5844963850384,167.69963387078846,132.81194124543248,20.795585047031274,19.082654232411816,36.853426343378366,111.34806936430039,159.28085524179036,1059.799736539999,1476.536974492242,138.48850365043052,20.157328542419133,32.97753520843912,627.852122547337,558.4397010661282
Ahmednagar,2021,1859.1603239303015,2051.165612669619,22676.32387302302,26.819806288958375,536.4401366391245,110563.14605039597,47.93010278734555,108.5047574318412,76.72582096479519,43535.675554721034,31.70240389526474,52.41641525018824,30.726226584730178,29245.17125999341,16.57922066246931,27.654175320402082,20.04837261676584,202700.1780188731,210.39505909652763,168.52649340592205,133.20170525048604,21.898814835408622,18.682693234491843,36.72481629261156,112.54429212438183,162.1535824986566,1056.0747370918189,1480.0274946209504,139.17850182996878,20.22037173127873,32.97336198712468,629.3800849456437,559.1814656423636
Ahmednagar,2022,1856.2524952305212,2070.7814500223967,22242.10333173559,54.45475952524461,536.4401412228028,112634.74844989544,47.16863139437893,113.35497488502597,78.13581649248837,41248.89992851387,31.915933275761827,53.80053136616324,29.396233265985455,28539.563874793334,16.264889637548734,27.146058385579494,19.61995576522459,206629.29850244388,222.50663716471126,169.40946247231705,133.61520070569054,23.017232666594538,18.253354254305208,36.62946129858843,113.74052666378014,165.0263097555228,1052.3497367495495,1483.5180147496587,139.8685053297903,20.27175885282532,32.96422942589175,630.9080917472634,559.923230218599
Ahmednagar,2023,1853.3446617792315,2090.397164251376,21810.796805393296,83.30297677602096,536.4401412233685,114706.35084939489,46.46258221027591,118.52749867831398,79.54582247679227,39057.36811381433,32.12946265625891,55.52481459042133,28.11404629509404,27860.596098352424,15.978997366556099,26.63650971312262,19.20009837173751,210558.41898601467,235.4298255089327,170.33115543056934,134.05315874869314,24.10953233126805,17.807208096851433,36.567459610732946,114.93674868765427,167.8990371957928,1048.6247373013694,1487.0085144801637,140.55850350932857,20.310430174051504,32.95062688400634,632.4361429521957,560.6649945976749
Ahmednagar,2025,1847.5290091311804,2129.6288389569318,21021.906104003407,140.3781981335636,536.4401412233685,118849.55752982409,45.37020300582218,128.8975136157291,82.36581876048398,35140.580702322644,32.5565222778457,59.6015177810129,25.785805006903935,26575.475717614983,15.499232641926385,25.59853216001308,18.379696461440236,218416.6594814047,261.3178239852083,172.2171411072851,134.99508406444951,26.04938103679973,16.912688869400057,36.53992302719545,117.32919420781714,173.64449170952523,1041.1747375109198,1493.9895547375804,141.93850518868834,20.347794274504373,32.91242043111235,635.4921121521221,562.1485235748928
Ahmednagar,2030,1832.989865632279,2227.70814884462,19881.75842405115,246.37405817965384,536.4401412233685,129207.57329018193,45.51695767395333,143.7484790968782,89.41582254047664,28765.89084854636,33.624168893466916,67.51889121556636,21.669728167018523,23486.832378704632,14.788020377340553,22.654227507565956,16.257588482835168,238062.2590687494,299.22823042257835,176.4122842081056,137.49736826755466,28.014745790518347,15.07559553777538,36.918302917236616,123.31031831512658,188.00812799385625,1022.549736693662,1511.442134982919,145.3885067269462,20.234565093925,32.78440389825587,643.1321017569073,565.8573460836573
Ahmednagar,2035,1818.4507173818681,2325.7874587323086,19833.33308871385,282.90157278490994,536.4401412233685,139565.5899912549,49.27161387513161,131.70252106563706,96.46582109216395,26060.491568711703,34.691815222223916,63.8548088317785,19.375290939169183,20245.91618711745,14.517446281335987,19.221789486956848,13.91801022400185,257707.85865609412,273.7975347615925,178.94951558122358,139.59493476207894,25.34631282176253,14.113104124467572,37.570525974513245,129.29144315864332,202.37176432403825,1003.9247376645827,1528.8947152282576,148.83850294492072,19.973817299297178,32.66753651819687,650.7720913616924,569.5661685705152
Ahmednagar,2040,1803.9115738829666,2423.8665223723992,20141.02403231139,279.637625253095,536.4401412233685,149923.60669232786,53.71092261230645,104.17662084166793,103.51581964385127,24754.85583489342,35.75946298530196,51.40508975629763,17.92431862684597,17389.51599892411,14.417443664386047,16.18825404064081,11.852010242446624,277353.4606021965,212.70810477871763,179.933926016868,140.8754984721461,20.748517156628154,13.780600504685669,38.10730558381122,135.27256726595277,216.73540065422026,985.299736847325,1546.3472750753929,152.28849916289528,19.74927878839198,32.59539189473337,658.4120809664776,573.274991057373
