Year,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AND VEGETABLES AREA (1000 ha),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),Min Temp (Centigrate),Max Temp (Centigrate),Precipitation (mm),Irrigated Area,Annual Rainfall
1966,Ahmednagar,11.0,5.0,455.0,38.0,17.0,447.0,609.0,273.0,448.0,315.0,61.0,194.0,1.0,1.0,1000.0,22.0,7.0,318.0,20.0,13.0,650.0,232.0,14.0,59.0,34.0,16.0,471.0,2.0,1.0,294.0,199.0,17.0,84.0,35.0,254.0,7302.0,29.0,5.0,172.0,12.0,73.0,2.0,2.0,1085.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,33.0,172.0,230.0,563.0
1967,Ahmednagar,9.0,8.0,889.0,40.0,14.0,350.0,645.0,276.0,428.0,361.0,62.0,172.0,1.0,2.0,2000.0,22.0,6.0,273.0,20.0,11.0,550.0,223.0,10.0,43.0,24.0,11.0,458.0,2.0,1.0,263.0,213.0,12.0,55.0,35.0,246.0,7037.0,37.0,5.0,135.0,10.0,67.0,5.0,5.0,3357.0,33.0,3.0,3.0,0.0,0.0,0.0,0.0,19.0,32.0,649.0,236.0,556.0
1968,Ahmednagar,8.0,7.0,886.0,43.0,28.0,650.0,556.0,187.0,336.0,351.0,86.0,245.0,1.0,1.0,1111.0,21.0,7.0,335.0,18.0,10.0,546.0,73.0,11.0,146.0,24.0,13.0,546.0,2.0,0.0,250.0,85.0,14.0,160.0,47.0,306.0,6445.0,25.0,3.0,119.0,9.0,65.0,4.0,4.0,1653.0,23.0,1.0,1.0,811.0,11.0,1.0,1.0,18.0,32.0,551.0,235.0,493.0
1969,Ahmednagar,8.0,5.0,667.0,49.0,23.0,465.0,496.0,214.0,432.0,380.0,114.0,301.0,1.0,2.0,1667.0,20.0,6.0,318.0,23.0,14.0,624.0,84.0,13.0,154.0,25.0,12.0,478.0,2.0,1.0,263.0,85.0,13.0,150.0,52.0,415.0,7988.0,25.0,2.0,92.0,9.0,75.0,8.0,7.0,1659.0,13.0,1.0,1.0,1551.0,12.0,1.0,1.0,19.0,33.0,694.0,227.0,685.0
1970,Ahmednagar,7.0,6.0,789.0,47.0,29.0,616.0,533.0,100.0,188.0,362.0,126.0,349.0,2.0,2.0,1133.0,18.0,6.0,337.0,20.0,15.0,735.0,62.0,1.0,10.0,19.0,12.0,651.0,2.0,0.0,182.0,84.0,13.0,154.0,52.0,414.0,7958.0,28.0,2.0,81.0,9.0,70.0,8.0,8.0,2364.0,17.0,2.0,2.0,1784.0,13.0,1.0,1.0,18.0,32.0,218.0,243.0,491.0
1971,Ahmednagar,7.0,6.0,817.0,53.0,32.0,599.0,711.0,130.0,183.0,121.0,29.0,237.0,1.0,1.0,1429.0,21.0,10.0,483.0,5.0,1.0,255.0,20.0,2.0,96.0,10.0,8.0,743.0,1.0,0.0,167.0,73.0,8.0,108.0,49.0,350.0,7112.0,9.0,2.0,233.0,8.0,65.0,9.0,9.0,3178.0,20.0,3.0,3.0,2380.0,15.0,2.0,2.0,18.0,32.0,172.0,235.0,450.0
1972,Ahmednagar,6.0,1.0,172.0,44.0,22.0,490.0,512.0,45.0,87.0,160.0,24.0,147.0,1.0,1.0,1714.0,9.0,2.0,250.0,4.0,1.0,205.0,19.0,1.0,70.0,8.0,2.0,275.0,0.0,0.0,333.0,85.0,10.0,117.0,48.0,332.0,6884.0,7.0,2.0,231.0,6.0,64.0,13.0,12.0,4143.0,18.0,4.0,3.0,4080.0,18.0,4.0,3.0,19.0,33.0,109.0,197.0,214.0
1973,Ahmednagar,6.0,7.0,1155.0,55.0,39.0,699.0,589.0,241.0,409.0,346.0,144.0,416.0,2.0,3.0,1647.0,21.0,7.0,338.0,18.0,13.0,721.0,78.0,3.0,38.0,12.0,10.0,836.0,2.0,1.0,250.0,71.0,33.0,463.0,50.0,372.0,7446.0,4.0,1.0,186.0,9.0,62.0,13.0,12.0,5820.0,23.0,5.0,4.0,3690.0,15.0,3.0,3.0,19.0,32.0,157.0,249.0,583.0
1974,Ahmednagar,7.0,10.0,1429.0,48.0,56.0,1180.0,585.0,238.0,406.0,321.0,117.0,364.0,2.0,3.0,1625.0,19.0,7.0,365.0,19.0,12.0,621.0,76.0,18.0,231.0,13.0,13.0,1024.0,2.0,1.0,217.0,93.0,40.0,426.0,57.0,482.0,8427.0,6.0,1.0,224.0,9.0,50.0,11.0,10.0,5154.0,18.0,4.0,4.0,9323.0,33.0,8.0,7.0,18.0,32.0,683.0,262.0,678.0
1975,Ahmednagar,8.0,15.0,1855.0,75.0,90.0,1195.0,613.0,261.0,426.0,306.0,75.0,245.0,2.0,2.0,1095.0,25.0,11.0,418.0,23.0,12.0,537.0,74.0,15.0,204.0,14.0,15.0,1014.0,3.0,1.0,231.0,88.0,34.0,388.0,62.0,522.0,8486.0,7.0,2.0,246.0,10.0,65.0,9.0,8.0,2380.0,14.0,2.0,2.0,3426.0,20.0,3.0,2.0,18.0,32.0,770.0,308.0,656.0
