District,Year,Crop,Target Column,Forecasted Value
Ahmednagar,2017,Rice,RICE AREA (1000 ha),11.0
Ahmednagar,2018,Rice,RICE AREA (1000 ha),9.0
Ahmednagar,2019,Rice,RICE AREA (1000 ha),8.0
Ahmednagar,2020,Rice,RICE AREA (1000 ha),8.0
Ahmednagar,2021,Rice,RICE AREA (1000 ha),7.0
Ahmednagar,2022,Rice,RICE AREA (1000 ha),7.0
Ahmednagar,2023,Rice,RICE AREA (1000 ha),6.0
Ahmednagar,2025,Rice,RICE AREA (1000 ha),6.0
Ahmednagar,2030,Rice,RICE AREA (1000 ha),7.0
Ahmednagar,2035,Rice,RICE AREA (1000 ha),8.0
Ahmednagar,2040,Rice,RICE AREA (1000 ha),13.0
Ahmednagar,2045,Rice,RICE AREA (1000 ha),10.0
Ahmednagar,2050,Rice,RICE AREA (1000 ha),9.21
Ahmednagar,2017,Rice,RICE PRODUCTION (1000 tons),5.0
Ahmednagar,2018,Rice,RICE PRODUCTION (1000 tons),8.0
Ahmednagar,2019,Rice,RICE PRODUCTION (1000 tons),7.0
Ahmednagar,2020,Rice,RICE PRODUCTION (1000 tons),5.0
Ahmednagar,2021,Rice,RICE PRODUCTION (1000 tons),6.0
Ahmednagar,2022,Rice,RICE PRODUCTION (1000 tons),6.0
Ahmednagar,2023,Rice,RICE PRODUCTION (1000 tons),1.0
Ahmednagar,2025,Rice,RICE PRODUCTION (1000 tons),7.0
Ahmednagar,2030,Rice,RICE PRODUCTION (1000 tons),10.0
Ahmednagar,2035,Rice,RICE PRODUCTION (1000 tons),15.0
Ahmednagar,2040,Rice,RICE PRODUCTION (1000 tons),21.0
Ahmednagar,2045,Rice,RICE PRODUCTION (1000 tons),18.0
Ahmednagar,2050,Rice,RICE PRODUCTION (1000 tons),15.0
Ahmednagar,2017,Rice,RICE YIELD (Kg per ha),455.0
Ahmednagar,2018,Rice,RICE YIELD (Kg per ha),889.0
Ahmednagar,2019,Rice,RICE YIELD (Kg per ha),886.0
Ahmednagar,2020,Rice,RICE YIELD (Kg per ha),702.73
Ahmednagar,2021,Rice,RICE YIELD (Kg per ha),789.0
Ahmednagar,2022,Rice,RICE YIELD (Kg per ha),817.0
Ahmednagar,2023,Rice,RICE YIELD (Kg per ha),172.0
Ahmednagar,2025,Rice,RICE YIELD (Kg per ha),1155.0
Ahmednagar,2030,Rice,RICE YIELD (Kg per ha),1429.0
Ahmednagar,2035,Rice,RICE YIELD (Kg per ha),1855.0
Ahmednagar,2040,Rice,RICE YIELD (Kg per ha),1615.0
Ahmednagar,2045,Rice,RICE YIELD (Kg per ha),1845.0
Ahmednagar,2050,Rice,RICE YIELD (Kg per ha),1556.0
Ahmednagar,2017,Wheat,WHEAT AREA (1000 ha),38.85
Ahmednagar,2018,Wheat,WHEAT AREA (1000 ha),39.815
Ahmednagar,2019,Wheat,WHEAT AREA (1000 ha),42.805
Ahmednagar,2020,Wheat,WHEAT AREA (1000 ha),46.685
Ahmednagar,2021,Wheat,WHEAT AREA (1000 ha),46.395
Ahmednagar,2022,Wheat,WHEAT AREA (1000 ha),53.195
Ahmednagar,2023,Wheat,WHEAT AREA (1000 ha),43.345
Ahmednagar,2025,Wheat,WHEAT AREA (1000 ha),54.405
Ahmednagar,2030,Wheat,WHEAT AREA (1000 ha),47.795
Ahmednagar,2035,Wheat,WHEAT AREA (1000 ha),75.315
Ahmednagar,2040,Wheat,WHEAT AREA (1000 ha),76.07
Ahmednagar,2045,Wheat,WHEAT AREA (1000 ha),67.71
Ahmednagar,2050,Wheat,WHEAT AREA (1000 ha),73.325
Ahmednagar,2017,Wheat,WHEAT PRODUCTION (1000 tons),17.0
Ahmednagar,2018,Wheat,WHEAT PRODUCTION (1000 tons),14.0
Ahmednagar,2019,Wheat,WHEAT PRODUCTION (1000 tons),28.0
Ahmednagar,2020,Wheat,WHEAT PRODUCTION (1000 tons),19.486666666666668
Ahmednagar,2021,Wheat,WHEAT PRODUCTION (1000 tons),29.0
Ahmednagar,2022,Wheat,WHEAT PRODUCTION (1000 tons),32.0
Ahmednagar,2023,Wheat,WHEAT PRODUCTION (1000 tons),22.0
Ahmednagar,2025,Wheat,WHEAT PRODUCTION (1000 tons),39.0
Ahmednagar,2030,Wheat,WHEAT PRODUCTION (1000 tons),56.0
Ahmednagar,2035,Wheat,WHEAT PRODUCTION (1000 tons),90.0
Ahmednagar,2040,Wheat,WHEAT PRODUCTION (1000 tons),75.0
Ahmednagar,2045,Wheat,WHEAT PRODUCTION (1000 tons),76.0
Ahmednagar,2050,Wheat,WHEAT PRODUCTION (1000 tons),80.0
Ahmednagar,2017,Wheat,WHEAT YIELD (Kg per ha),445.79333333333335
Ahmednagar,2018,Wheat,WHEAT YIELD (Kg per ha),397.1566666666667
